"QNA_ACCOUNT","Account","QNA_INDICATOR","Indicator","QNA_BRANCH","Industry breakdown","QNA_PRICE","Price type and unit","QNA_ADJ","Adjustment","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q1","2021Q1",-0.1,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q1","2022Q1",5.4,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q2","2022Q2",4.1,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q3","2019Q3",2.6,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q4","2019Q4",2.2,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q4","2020Q4",-4.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q4","2021Q4",6.2,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q4","2022Q4",1.5,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2023-Q1","2023Q1",1.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","A","Annual","2019","2019",2.3,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","A","Annual","2020","2020",-5.4,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","A","Annual","2021","2021",6.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","A","Annual","2022","2022",3.2,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2019-Q2","2019Q2",2.2,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2020-Q2","2020Q2",-12.7,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2020-Q3","2020Q3",-3.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2021-Q2","2021Q2",14.6,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2021-Q3","2021Q3",5,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2022-Q3","2022Q3",2.1,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2019-Q1","2019Q1",2.1,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2020-Q1","2020Q1",-0.9,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2021-Q1","2021Q1",0,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2022-Q1","2022Q1",5.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2022-Q2","2022Q2",4.1,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2019-Q3","2019Q3",2.5,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2019-Q4","2019Q4",2.3,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2020-Q4","2020Q4",-4.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2021-Q4","2021Q4",6.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LY","Chain linked - Y to Y percentage change (reference year 2015)","N","Gross data","Q","Quarterly","2022-Q4","2022Q4",1.6,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q2","2019Q2",0.6,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q2","2020Q2",-11.4,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q3","2020Q3",11.8,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q2","2021Q2",1.8,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q3","2021Q3",2.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q3","2022Q3",0.3,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2019-Q1","2019Q1",0.3,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2020-Q1","2020Q1",-2.9,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2021-Q1","2021Q1",1.4,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","LQ","Chain linked - Q to Q percentage change (reference year 2015)","Y","Working day and seasonally adjusted","Q","Quarterly","2022-Q1","2022Q1",0.6,"P","Provisional"
